prevalence,calibration,fp_cost_regime,capacity,comparison,left_policy,right_policy,n_seeds,df,mean_paired_delta,sd_paired_delta,se_paired_delta,t_crit,ci95_low,ci95_high,interval_method,zero_status,ref_mean_cost_right,practical_band_abs,mean_abs_within_1pct_band,ci_within_1pct_practical_band,practical_band_note
baseline,temperature_T1.5,baseline,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,77676.65100000001,11640.544449113544,3681.063366362879,2.2621571627409915,69349.50713927876,86003.79486072126,student_t_df_n_minus_1,excludes_0_positive,535302.223,5353.0222300000005,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,baseline,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,92886.63200000001,13255.87305122175,4191.875121590659,2.2621571627409915,83403.95166837794,102369.31233162209,student_t_df_n_minus_1,excludes_0_positive,597018.441,5970.18441,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,baseline,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,111178.43699999999,8802.431223315545,2783.5731612659365,2.2621571627409915,104881.55703522867,117475.31696477131,student_t_df_n_minus_1,excludes_0_positive,767526.5999999999,7675.265999999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,high,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,53528.52000000002,11075.620577659136,3502.4187525232683,2.2621571627409915,45605.498332061135,61451.5416679389,student_t_df_n_minus_1,excludes_0_positive,598448.977,5984.489769999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,high,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,63731.15400000002,12995.549531041768,4109.553596362504,2.2621571627409915,54434.69789632058,73027.61010367946,student_t_df_n_minus_1,excludes_0_positive,596370.5990000002,5963.705990000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,high,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,81497.74499999998,12093.88064639419,3824.420859283506,2.2621571627409915,72846.30395983574,90149.18604016422,student_t_df_n_minus_1,excludes_0_positive,631279.8759999999,6312.79876,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,high,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,136182.09799999997,12397.900810464105,3920.560476591408,2.2621571627409915,127313.17403591948,145051.02196408046,student_t_df_n_minus_1,excludes_0_positive,822070.4400000001,8220.7044,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,high,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,304828.122,7563.357431608159,2391.743624184297,2.2621571627409915,299417.6220291114,310238.6219708886,student_t_df_n_minus_1,excludes_0_positive,1209859.651,12098.596510000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,low,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,62546.46399999998,9701.039276115587,3067.7379783276347,2.2621571627409915,55606.75855891355,69486.1694410864,student_t_df_n_minus_1,excludes_0_positive,569790.893,5697.9089300000005,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,low,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,85250.22,7109.627519266461,2248.261627629466,2.2621571627409915,80164.29885534229,90336.14114465771,student_t_df_n_minus_1,excludes_0_positive,536809.9389999999,5368.099389999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,low,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,91739.36200000001,14270.884326743982,4512.849869730955,2.2621571627409915,81530.58634281337,101948.13765718664,student_t_df_n_minus_1,excludes_0_positive,507306.049,5073.06049,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,low,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,94488.19100000002,13111.392565002792,4146.186380200611,2.2621571627409915,85108.86578197006,103867.51621802998,student_t_df_n_minus_1,excludes_0_positive,505475.31500000006,5054.7531500000005,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,low,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,90660.915,15299.837405511684,4838.233403165813,2.2621571627409915,79716.07065201573,101605.75934798426,student_t_df_n_minus_1,excludes_0_positive,595305.3200000001,5953.053200000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,baseline,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,45254.958,18404.43257478767,5819.992597932624,2.2621571627409915,32089.22005748716,58420.69594251284,student_t_df_n_minus_1,excludes_0_positive,598442.1369999999,5984.421369999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,baseline,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,45320.21799999997,5446.963999364532,1722.481257093187,2.2621571627409915,41423.69468657951,49216.74131342043,student_t_df_n_minus_1,excludes_0_positive,583517.0229999999,5835.17023,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,baseline,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,47782.69500000001,9303.799833015952,2942.119836662464,2.2621571627409915,41127.15753785166,54438.23246214836,student_t_df_n_minus_1,excludes_0_positive,579407.6429999999,5794.076429999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,baseline,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,40312.84900000001,10992.106312959773,3476.00922316685,2.2621571627409915,32449.569838059368,48176.12816194065,student_t_df_n_minus_1,excludes_0_positive,650410.861,6504.10861,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,baseline,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,39596.67200000002,8783.091476377655,2777.4573962964364,2.2621571627409915,33313.62685676009,45879.71714323995,student_t_df_n_minus_1,excludes_0_positive,841962.631,8419.626310000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
