policy,same_predictions,review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,capacity_utilization,prevalence,calibration,fp_cost_regime,capacity
D_cost_aware,Yes,2000,0.199,199869.72,869020.59,26075.68,50000.0,945096.27,1.0,high,severe_distortion,low,2000
C_expected_exposure,Yes,5000,0.1936,337810.17,728730.62,65595.53,125000.0,919326.15,1.0,high,severe_distortion,low,5000
C_expected_exposure,Yes,10000,0.1885,506968.72,585572.0,131193.91,250000.0,966765.91,1.0,high,severe_distortion,low,10000
D_cost_aware,Yes,500,0.256,55851.36,284052.23,14799.31,12500.0,311351.55,1.0,low,calibrated,baseline,500
D_cost_aware,Yes,1000,0.244,90794.4,269946.29,27833.0,25000.0,322779.29,1.0,low,calibrated,baseline,1000
D_cost_aware,Yes,2000,0.2245,128325.6,238181.41,54600.86,50000.0,342782.28,1.0,low,calibrated,baseline,2000
D_cost_aware,Yes,5000,0.1612,164760.82,185159.75,126871.3,125000.0,437031.05,1.0,low,calibrated,baseline,5000
D_cost_aware,Yes,10000,0.1044,202032.43,165079.36,233454.99,250000.0,648534.35,1.0,low,calibrated,baseline,10000
D_cost_aware,Yes,500,0.314,63471.63,296738.87,35248.16,12500.0,344487.03,1.0,low,calibrated,high,500
D_cost_aware,Yes,1000,0.299,88150.83,285433.49,62292.14,25000.0,372725.62,1.0,low,calibrated,high,1000
D_cost_aware,Yes,2000,0.209,92921.32,254543.08,118626.09,50000.0,423169.17,1.0,low,calibrated,high,2000
D_cost_aware,Yes,5000,0.1126,117738.2,238659.99,293616.54,125000.0,657276.54,1.0,low,calibrated,high,5000
D_cost_aware,Yes,10000,0.0829,153862.72,214493.7,609900.62,250000.0,1074394.31,1.0,low,calibrated,high,10000
D_cost_aware,Yes,500,0.266,59952.03,293533.86,5784.06,12500.0,311817.93,1.0,low,calibrated,low,500
D_cost_aware,Yes,1000,0.239,95390.98,266001.47,11439.68,25000.0,302441.16,1.0,low,calibrated,low,1000
D_cost_aware,Yes,2000,0.228,137537.11,220059.16,22783.63,50000.0,292842.79,1.0,low,calibrated,low,2000
D_cost_aware,Yes,5000,0.1688,182062.25,167132.75,57721.0,125000.0,349853.76,1.0,low,calibrated,low,5000
D_cost_aware,Yes,10000,0.1216,236414.5,118578.09,112601.76,250000.0,481179.86,1.0,low,calibrated,low,10000
C_expected_exposure,Yes,500,0.188,55832.32,292698.18,17208.86,12500.0,322407.04,1.0,low,moderate_distortion,baseline,500
D_cost_aware,Yes,1000,0.186,76002.26,294540.7,32500.54,25000.0,352041.24,1.0,low,moderate_distortion,baseline,1000
D_cost_aware,Yes,2000,0.1615,99899.49,252860.41,65502.54,50000.0,368362.95,1.0,low,moderate_distortion,baseline,2000
D_cost_aware,Yes,5000,0.1298,133053.95,212745.29,160242.07,125000.0,497987.37,1.0,low,moderate_distortion,baseline,5000
D_cost_aware,Yes,10000,0.1005,187958.26,185137.74,284418.45,250000.0,719556.18,1.0,low,moderate_distortion,baseline,10000
D_cost_aware,Yes,500,0.2,38418.39,310056.59,46260.4,12500.0,368816.99,1.0,low,moderate_distortion,high,500
D_cost_aware,Yes,1000,0.191,65732.67,294924.67,88207.15,25000.0,408131.83,1.0,low,moderate_distortion,high,1000
D_cost_aware,Yes,2000,0.17,83211.31,272780.77,173195.74,50000.0,495976.5,1.0,low,moderate_distortion,high,2000
D_cost_aware,Yes,5000,0.1174,105286.03,244269.93,383475.07,125000.0,752745.0,1.0,low,moderate_distortion,high,5000
D_cost_aware,Yes,10000,0.0801,149252.38,210465.34,715392.3,250000.0,1175857.64,1.0,low,moderate_distortion,high,10000
D_cost_aware,Yes,500,0.172,43531.26,299245.09,6578.03,12500.0,318323.12,1.0,low,moderate_distortion,low,500
D_cost_aware,Yes,1000,0.157,67400.72,293125.04,13192.85,25000.0,331317.89,1.0,low,moderate_distortion,low,1000
D_cost_aware,Yes,2000,0.151,92079.01,257039.4,26460.98,50000.0,333500.39,1.0,low,moderate_distortion,low,2000
D_cost_aware,Yes,5000,0.1184,138498.69,195238.81,66240.49,125000.0,386479.3,1.0,low,moderate_distortion,low,5000
D_cost_aware,Yes,10000,0.107,221125.21,160731.13,127773.35,250000.0,538504.48,1.0,low,moderate_distortion,low,10000
D_cost_aware,Yes,500,0.122,35140.84,302700.27,18403.28,12500.0,333603.55,1.0,low,severe_distortion,baseline,500
C_expected_exposure,Yes,1000,0.12,66701.13,301076.43,38263.52,25000.0,364339.95,1.0,low,severe_distortion,baseline,1000
