prevalence,calibration,fp_cost_regime,capacity,best_policy,best_mean_cost,near_equivalent_policies,seed_win_rate_of_best,status
baseline,temperature_T2.5,low,2000,D1_cost_aware_topk,540505.573,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
baseline,temperature_T2.5,low,5000,D1_cost_aware_topk,551267.162,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
baseline,temperature_T2.5,low,10000,A_fixed_threshold_fifo,618797.333,A_fixed_threshold_fifo,1.0,clear_winner
high,calibrated_by_construction_T1.0,baseline,500,D1_cost_aware_topk,966771.541,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.6,near_equivalent_unstable
high,calibrated_by_construction_T1.0,baseline,1000,D1_cost_aware_topk,922535.0619999999,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
high,calibrated_by_construction_T1.0,baseline,2000,D1_cost_aware_topk,861555.53,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
high,calibrated_by_construction_T1.0,baseline,5000,D2_cost_aware_abstention,819710.037,"D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
high,calibrated_by_construction_T1.0,baseline,10000,D2_cost_aware_abstention,825238.023,D2_cost_aware_abstention,1.0,clear_winner
high,calibrated_by_construction_T1.0,high,500,D1_cost_aware_topk,994413.8230000001,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.7,near_equivalent
high,calibrated_by_construction_T1.0,high,1000,D1_cost_aware_topk,957550.8380000001,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,calibrated_by_construction_T1.0,high,2000,D2_cost_aware_abstention,945962.428,"D1_cost_aware_topk,D2_cost_aware_abstention",0.7,near_equivalent
high,calibrated_by_construction_T1.0,high,5000,D2_cost_aware_abstention,938408.2,D2_cost_aware_abstention,1.0,clear_winner
high,calibrated_by_construction_T1.0,high,10000,D2_cost_aware_abstention,942235.1070000001,D2_cost_aware_abstention,1.0,clear_winner
high,calibrated_by_construction_T1.0,low,500,C_expected_exposure,961364.9379999998,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.6,near_equivalent_unstable
high,calibrated_by_construction_T1.0,low,1000,D1_cost_aware_topk,906104.5210000001,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.5,near_equivalent_unstable
high,calibrated_by_construction_T1.0,low,2000,D1_cost_aware_topk,826058.14,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.4,near_equivalent_unstable
high,calibrated_by_construction_T1.0,low,5000,D1_cost_aware_topk,739947.403,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
high,calibrated_by_construction_T1.0,low,10000,D2_cost_aware_abstention,737897.429,D2_cost_aware_abstention,1.0,clear_winner
high,temperature_T1.5,baseline,500,D1_cost_aware_topk,978685.543,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
high,temperature_T1.5,baseline,1000,D1_cost_aware_topk,927934.924,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
high,temperature_T1.5,baseline,2000,D1_cost_aware_topk,876287.589,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T1.5,baseline,5000,D1_cost_aware_topk,838040.5939999999,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T1.5,baseline,10000,D2_cost_aware_abstention,877074.2019999999,D2_cost_aware_abstention,1.0,clear_winner
high,temperature_T1.5,high,500,D1_cost_aware_topk,1002705.951,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T1.5,high,1000,D1_cost_aware_topk,963594.3539999999,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T1.5,high,2000,D1_cost_aware_topk,957398.701,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T1.5,high,5000,D2_cost_aware_abstention,965364.773,D2_cost_aware_abstention,1.0,clear_winner
high,temperature_T1.5,high,10000,D2_cost_aware_abstention,978014.7470000001,D2_cost_aware_abstention,1.0,clear_winner
high,temperature_T1.5,low,500,D1_cost_aware_topk,968668.4289999999,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.7,near_equivalent
high,temperature_T1.5,low,1000,D1_cost_aware_topk,907322.303,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
high,temperature_T1.5,low,2000,D1_cost_aware_topk,840841.3400000001,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
high,temperature_T1.5,low,5000,D1_cost_aware_topk,768234.7320000001,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T1.5,low,10000,D1_cost_aware_topk,774083.7490000001,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T2.5,baseline,500,D1_cost_aware_topk,1002911.9349999999,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
