condition,policy_label,total_system_cost,fraud_loss_remaining,review_cost,fp_intervention_cost,review_volume,overlap_with_d1_oracle,spearman_vs_oracle_benefit,abstention_rate,capacity_utilization
VALUE_NOISE_HIGH,D1_estimated,589112.1865000001,488758.158,50000.0,50354.029,2000.0,0.61057505,0.9908283499999999,,1.0
VALUE_NOISE_HIGH,D1_oracle,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
VALUE_NOISE_HIGH,D2_estimated,585976.7485,508389.7235,38626.25,38960.7765,1545.05,0.5730752,0.9908283499999999,0.9845495,0.772525
VALUE_NOISE_HIGH,D2_oracle,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
VALUE_NOISE_LOW,B_topk_probability,655775.2145,563197.5005,50000.0,42577.715000000004,2000.0,0.24820935,1.0,,1.0
VALUE_NOISE_LOW,C_expected_exposure,583270.7045,473611.17000000004,50000.0,59659.534499999994,2000.0,0.72428655,1.0,,1.0
VALUE_NOISE_LOW,D1_estimated,579676.637,480508.645,50000.0,49167.9935,2000.0,0.81082165,0.99823985,,1.0
VALUE_NOISE_LOW,D1_oracle,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
VALUE_NOISE_LOW,D2_estimated,577403.2810000001,502032.055,38002.5,37368.725,1520.1,0.72237065,0.99823985,0.984799,0.76005
VALUE_NOISE_LOW,D2_oracle,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
