review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,review_effectiveness,policy_label,base_policy,info_set,deployable,is_oracle_reference,condition,e_true,e_hat,r_true,r_hat,abstention_rate,overlap_with_d1_oracle,spearman_vs_oracle_benefit,capacity_utilization,seed,capacity
1677,0.3447,169976.49,497536.5,42596.81,41925.0,582058.32,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,FP_COST_NOISE_HIGH,0.8,0.8,25.0,25.0,0.98323,0.750119,0.695355,0.8385,1059,2000
2000,0.5195,99700.9,567812.09,41772.15,50000.0,659584.24,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,0.241465,1.0,1.0,1059,2000
2000,0.3145,194121.84,473391.15,59447.26,50000.0,582838.42,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,0.724881,0.368253,1.0,1059,2000
2000,0.3145,194121.84,473391.15,59447.26,50000.0,582838.42,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,0.724881,0.368253,1.0,1059,2000
2000,0.349,190011.16,477501.83,48768.02,50000.0,576269.85,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,1.0,1.0,1.0,1059,2000
1508,0.3627,169180.61,498332.39,36635.07,37700.0,572667.46,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,0.98492,0.754,1.0,0.754,1059,2000
2000,0.3395,190156.55,477356.44,50922.13,50000.0,578278.57,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,0.939864,0.99822,1.0,1059,2000
2000,0.3395,190156.55,477356.44,50922.13,50000.0,578278.57,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,0.97923,0.939864,0.99822,1.0,1059,2000
2000,0.5195,99700.9,567812.09,41772.15,50000.0,659584.24,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,REVIEW_EFFECTIVENESS_PESSIMISM,0.8,0.6,25.0,25.0,,0.241465,1.0,1.0,1059,2000
2000,0.3145,194121.84,473391.15,59447.26,50000.0,582838.42,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,REVIEW_EFFECTIVENESS_PESSIMISM,0.8,0.6,25.0,25.0,,0.724881,0.368253,1.0,1059,2000
2000,0.3145,194121.84,473391.15,59447.26,50000.0,582838.42,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,REVIEW_EFFECTIVENESS_PESSIMISM,0.8,0.6,25.0,25.0,,0.724881,0.368253,1.0,1059,2000
2000,0.349,190011.16,477501.83,48768.02,50000.0,576269.85,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,REVIEW_EFFECTIVENESS_PESSIMISM,0.8,0.6,25.0,25.0,,1.0,1.0,1.0,1059,2000
1508,0.3627,169180.61,498332.39,36635.07,37700.0,572667.46,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,REVIEW_EFFECTIVENESS_PESSIMISM,0.8,0.6,25.0,25.0,0.98492,0.754,1.0,0.754,1059,2000
2000,0.3635,189320.99,478192.01,45845.71,50000.0,574037.71,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,REVIEW_EFFECTIVENESS_PESSIMISM,0.8,0.6,25.0,25.0,,0.912046,0.997574,1.0,1059,2000
1012,0.3834,135025.03,532487.96,23482.39,25300.0,581270.35,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,REVIEW_EFFECTIVENESS_PESSIMISM,0.8,0.6,25.0,25.0,0.98988,0.506,0.997574,0.506,1059,2000
2000,0.5195,99700.9,567812.09,41772.15,50000.0,659584.24,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,JOINT_MODERATE_MISSPECIFICATION,0.8,0.9,25.0,25.0,,0.241465,1.0,1.0,1059,2000
2000,0.3145,194121.84,473391.15,59447.26,50000.0,582838.42,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,JOINT_MODERATE_MISSPECIFICATION,0.8,0.9,25.0,25.0,,0.724881,0.368253,1.0,1059,2000
2000,0.307,191018.78,476494.21,60233.01,50000.0,586727.23,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,JOINT_MODERATE_MISSPECIFICATION,0.8,0.9,25.0,25.0,,0.629328,0.363795,1.0,1059,2000
